Detection,Embedding,MOTA,IDF,IDs,FPS,runtime (ms/img),MOTA19,IDF19,IDS19,FPS19,runtime (ms/img)19,size
JDE-DN53 (ours),JDE (ours),658,642,207,22.6,44.18,438,391,337,19.2,58.8,80
JDE-DN53 (ours),IDE,656,619,215,18.5,54.06,441,410,287,13.4,74.35,80
JDE-DN53 (ours),PCB,660,690,164,14.9,67.04,444,438,220,7.5,134.19,80
JDE-DN53 (ours),Triplet,662,715,146,17.8,55.63,441,448,263,12.6,79.42,80
JDE-R50 (ours),JDE (ours),631,637,217,10.16983627,98.33,427,377,350,8.811349018,113.49,50
JDE-R101 (ours),JDE (ours),639,655,198,8.302200083,120.45,436,398,312,7.359976448,135.87,50
FRCNN-R50,IDE,505,581,418,9.1,110.48,353,363,1100,4.3,230.48,50
FRCNN-R50,PCB,507,600,351,8.9,111.98,359,398,939,4.1,244.66,50
FRCNN-R50,Triplet,507,593,366,10.1,99.27,357,406,1024,6.06,165.12,50
FRCNN-R101,IDE,575,611,182,7.8,128.62,377,394,454,4.8,206.3,50
FRCNN-R101,PCB,602,658,110,6.6,151.86,380,396,347,3.9,256.63,50
FRCNN-R101,Triplet,603,678,109,8.4,119.58,375,387,404,6.27,159.41,50
Cascade-R50,IDE,626,660,143,7.7,130.35,423,438,631,4.1,241.92,50
Cascade-R50,PCB,629,696,118,7.6,131.58,427,446,512,3.8,360.76,50
Cascade-R50,Triplet,629,691,105,7.9,126.5,424,453,597,5.5,181.63,50
Cascade-R101,IDE,656,670,135,7.103786318,140.77,448,442,498,5.108034939,195.77,50
Cascade-R101,PCB,662,693,118,6.7,148.36,463,461,415,3.7,270.42,50
Cascade-R101,Triplet,662,684,119,7,142.56,456,466,513,5.2,192.66,50
